Datetime,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Hour,Minute,Second
2025-09-29 10:39:00+08:00,3.5799999237060547,3.5799999237060547,3.569999933242798,3.5799999237060547,3.5799999237060547,6200,2025,9,29,10,39,0
2025-09-29 10:40:00+08:00,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,1800,2025,9,29,10,40,0
2025-09-29 10:41:00+08:00,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,2500,2025,9,29,10,41,0
2025-09-29 10:42:00+08:00,3.5799999237060547,3.5999999046325684,3.5799999237060547,3.5999999046325684,3.5999999046325684,209300,2025,9,29,10,42,0
2025-09-29 10:43:00+08:00,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,5100,2025,9,29,10,43,0
2025-09-29 10:44:00+08:00,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,4200,2025,9,29,10,44,0
2025-09-29 10:45:00+08:00,3.5999999046325684,3.619999885559082,3.5999999046325684,3.619999885559082,3.619999885559082,206200,2025,9,29,10,45,0
2025-09-29 10:46:00+08:00,3.619999885559082,3.619999885559082,3.609999895095825,3.619999885559082,3.619999885559082,7000,2025,9,29,10,46,0
2025-09-29 10:47:00+08:00,3.619999885559082,3.630000114440918,3.619999885559082,3.630000114440918,3.630000114440918,64100,2025,9,29,10,47,0
2025-09-29 10:48:00+08:00,3.630000114440918,3.630000114440918,3.619999885559082,3.630000114440918,3.630000114440918,2300,2025,9,29,10,48,0
2025-09-29 10:49:00+08:00,3.630000114440918,3.630000114440918,3.619999885559082,3.630000114440918,3.630000114440918,1800,2025,9,29,10,49,0
2025-09-29 10:50:00+08:00,3.630000114440918,3.630000114440918,3.630000114440918,3.630000114440918,3.630000114440918,9500,2025,9,29,10,50,0
2025-09-29 10:51:00+08:00,3.630000114440918,3.630000114440918,3.619999885559082,3.619999885559082,3.619999885559082,13300,2025,9,29,10,51,0
2025-09-29 10:52:00+08:00,3.619999885559082,3.619999885559082,3.619999885559082,3.619999885559082,3.619999885559082,27700,2025,9,29,10,52,0
2025-09-29 10:53:00+08:00,3.619999885559082,3.630000114440918,3.619999885559082,3.630000114440918,3.630000114440918,2800,2025,9,29,10,53,0
2025-09-29 10:54:00+08:00,3.630000114440918,3.630000114440918,3.630000114440918,3.630000114440918,3.630000114440918,43100,2025,9,29,10,54,0
2025-09-29 10:55:00+08:00,3.630000114440918,3.630000114440918,3.609999895095825,3.609999895095825,3.609999895095825,22600,2025,9,29,10,55,0
2025-09-29 10:56:00+08:00,3.609999895095825,3.619999885559082,3.609999895095825,3.619999885559082,3.619999885559082,9000,2025,9,29,10,56,0
2025-09-29 10:57:00+08:00,3.619999885559082,3.619999885559082,3.619999885559082,3.619999885559082,3.619999885559082,300,2025,9,29,10,57,0
2025-09-29 10:58:00+08:00,3.619999885559082,3.619999885559082,3.609999895095825,3.609999895095825,3.609999895095825,35000,2025,9,29,10,58,0
2025-09-29 11:00:00+08:00,3.609999895095825,3.609999895095825,3.5999999046325684,3.609999895095825,3.609999895095825,2500,2025,9,29,11,0,0
2025-09-29 11:01:00+08:00,3.609999895095825,3.609999895095825,3.5899999141693115,3.5999999046325684,3.5999999046325684,23400,2025,9,29,11,1,0
2025-09-29 11:02:00+08:00,3.5999999046325684,3.5999999046325684,3.5899999141693115,3.5899999141693115,3.5899999141693115,21500,2025,9,29,11,2,0
2025-09-29 11:03:00+08:00,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,7100,2025,9,29,11,3,0
2025-09-29 11:04:00+08:00,3.5899999141693115,3.5999999046325684,3.5899999141693115,3.5999999046325684,3.5999999046325684,8200,2025,9,29,11,4,0
2025-09-29 11:05:00+08:00,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,2200,2025,9,29,11,5,0
2025-09-29 11:06:00+08:00,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,3400,2025,9,29,11,6,0
2025-09-29 11:07:00+08:00,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,1100,2025,9,29,11,7,0
